Dynamic similarity score (DTW avg distance): 5.074
Per-species scores:
cpd:C00279: 13.122
cpd:C00074: 13.586
cpd:C04691: 0.233
cpd:C00944: 0.930
cpd:C00296: 0.240
cpd:C02637: 0.824
cpd:C00493: 0.548
cpd:C03175: 0.144
cpd:C01269: 0.104
cpd:C00251: 0.278
cpd:C00079: 0.345
cpd:C00119: 12.483
cpd:C00108: 12.822
cpd:C04302: 0.150
cpd:C01302: 0.068
cpd:C03506: 13.497
cpd:C00463: 0.197
cpd:C00078: 11.959
cpd:C00082: 2.870
cpd:C01179: 12.790
cpd:C00254: 0.546
cpd:C00826: 0.245
cpd:C00166: 13.075
cpd:C16850: 12.263
cpd:C00441: 0.379
cpd:C16848: 12.636
cpd:C01094: 13.122
cpd:C00354: 12.711
cpd:C20653: 12.621
cpd:C20654: 0.347
cpd:C20327: 0.043
cpd:C17235: 1.505
cpd:C00587: 0.596
cpd:C20710: 0.084
cpd:C00230: 0.214
